City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bardai,11.65,7.2333,305.94,30,95,4.09,NG,1682533651
1,petropavlovsk-kamchatsky,53.0452,158.6483,269.48,80,0,3.0,RU,1682533560
2,longyearbyen,78.2186,15.6401,271.06,74,75,1.03,SJ,1682533652
3,piti village,13.4626,144.6933,300.64,91,75,4.12,GU,1682533652
4,port elizabeth,-33.918,25.5701,294.31,96,0,2.06,ZA,1682533652
5,saipan,15.1355,145.701,300.18,100,30,6.71,MP,1682533653
6,ouesso,1.6136,16.0517,293.44,98,100,1.44,CG,1682533653
7,dalnerechensk,45.9339,133.7225,275.7,44,14,3.12,RU,1682533653
8,adamstown,-25.066,-130.1015,297.22,62,4,2.15,PN,1682533558
9,puerto natales,-51.7236,-72.4875,285.4,43,75,12.35,CL,1682533653
10,grytviken,-54.2811,-36.5092,274.03,79,18,5.3,GS,1682533653
11,blackmans bay,-43.0167,147.3167,287.22,77,90,3.97,AU,1682533654
12,cockburn town,21.4612,-71.1419,299.24,73,28,3.2,TC,1682533654
13,geraldton,-28.7667,114.6,285.38,94,3,2.57,AU,1682533655
14,papatowai,-46.5619,169.4708,283.5,86,77,5.33,NZ,1682533558
15,tukrah,32.5341,20.5791,291.68,70,1,2.26,LY,1682533656
16,kone,-21.0595,164.8658,295.06,90,41,1.44,NC,1682533656
17,bredasdorp,-34.5322,20.0403,288.85,77,96,2.0,ZA,1682533656
18,boa vista,2.8197,-60.6733,298.14,88,100,5.14,BR,1682533509
19,remire-montjoly,4.9167,-52.2667,299.17,89,100,1.03,GF,1682533657
20,holualoa,19.6228,-155.9522,296.06,89,75,2.57,US,1682533657
21,am timan,11.0297,20.2827,303.61,46,76,4.61,TD,1682533658
22,udachny,66.4167,112.4,267.48,97,96,2.13,RU,1682533658
23,waitangi,-43.9535,-176.5597,283.05,81,86,1.34,NZ,1682533658
24,haiku-pauwela,20.9219,-156.3051,297.13,83,40,3.09,US,1682533658
25,portland,45.5234,-122.6762,292.2,63,100,2.24,US,1682533603
