City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,6.97,43,40,3.6,US,1682643083
1,kloulklubed,7.0419,134.2556,29.28,75,95,1.9,PW,1682643872
2,dudinka,69.4058,86.1778,-14.74,100,100,0.84,RU,1682643411
3,grytviken,-54.2811,-36.5092,1.35,82,17,3.62,GS,1682643375
4,banda aceh,5.5577,95.3222,27.41,76,100,1.61,ID,1682643872
5,chalette-sur-loing,48.0134,2.7359,15.68,98,100,3.91,FR,1682643873
6,longjiang,47.3303,123.1836,14.63,29,73,3.33,CN,1682643873
7,lerwick,60.1545,-1.1494,4.0,91,100,7.15,GB,1682643873
8,puerto natales,-51.7236,-72.4875,3.49,94,93,2.0,CL,1682643873
9,port-aux-francais,-49.35,70.2167,5.46,67,96,11.6,TF,1682643874
10,ushuaia,-54.8,-68.3,3.81,81,40,7.72,AR,1682643875
11,qaqortoq,60.7167,-46.0333,1.18,82,4,2.14,GL,1682643439
12,holualoa,19.6228,-155.9522,26.91,83,40,5.14,US,1682643454
13,whitehorse,60.7161,-135.0538,8.43,38,75,9.77,CA,1682643429
14,kostomuksha,64.571,30.5767,-0.16,94,90,5.23,RU,1682643876
15,wailua homesteads,22.0669,-159.378,27.24,66,20,6.69,US,1682643393
16,adamstown,-25.066,-130.1015,23.93,65,93,2.45,PN,1682643357
17,badger,64.8,-147.5333,6.93,39,40,3.6,US,1682643415
18,bikenibeu village,1.3673,173.1241,30.98,70,20,3.6,KI,1682643877
19,lucea,18.451,-78.1736,25.92,76,100,2.74,JM,1682643877
20,avarua,-21.2078,-159.775,26.03,69,100,3.09,CK,1682643375
21,edinburgh of the seven seas,-37.0676,-12.3116,16.43,77,100,2.53,SH,1682643371
22,kavieng,-2.5744,150.7967,29.15,72,23,1.31,PG,1682643878
23,stokesdale,36.2371,-79.9795,14.29,96,100,5.14,US,1682643878
24,takoradi,4.8845,-1.7554,25.48,87,100,3.6,GH,1682643879
25,aasiaat,68.7098,-52.8699,-7.03,96,58,0.86,GL,1682643407
26,papatowai,-46.5619,169.4708,11.46,72,57,1.8,NZ,1682643416
27,ust-nera,64.5667,143.2,-1.27,78,9,0.86,RU,1682643402
28,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,38,75,5.0,RU,1682643385
29,dazhou,31.2159,107.5009,17.97,83,100,1.7,CN,1682643879
30,lere,10.387,8.5726,22.83,75,100,1.67,NG,1682643880
31,barabai,-2.5833,115.3833,28.37,79,100,0.72,ID,1682643880
32,pollock pines,38.7613,-120.5866,24.57,33,0,1.54,US,1682643880
33,inarajan village,13.2736,144.7484,31.54,86,8,9.14,GU,1682643880
34,visakhapatnam,17.69,83.2093,24.94,88,20,1.03,IN,1682643880
35,uturoa,-16.7333,-151.4333,27.59,77,78,3.59,PF,1682643411
36,campbell river,50.0163,-125.2446,17.55,39,20,2.06,CA,1682643650
37,fairbanks,64.8378,-147.7164,7.98,39,75,4.12,US,1682643881
38,waitangi,-43.9535,-176.5597,13.23,80,88,0.89,NZ,1682643881
39,ternate,0.8,127.4,28.93,72,10,0.55,ID,1682643882
40,gadzhiyevo,69.2551,33.3362,-5.1,84,18,5.13,RU,1682643472
41,tiksi,71.6872,128.8694,-4.8,80,98,1.55,RU,1682643391
42,san antonio de pale,-1.4014,5.6325,27.54,76,100,2.23,GQ,1682643377
43,strathmore,51.0501,-113.3852,16.59,34,83,2.87,CA,1682643600
44,portland,45.5234,-122.6762,27.02,44,20,4.12,US,1682643472
45,la passe,45.5549,-0.8967,14.13,91,100,1.43,FR,1682643883
46,la'ie,21.6477,-157.9253,24.93,79,100,3.2,US,1682643412
47,cromwell,41.5951,-72.6454,9.99,86,0,0.0,US,1682643883
48,ilulissat,69.2167,-51.1,-0.99,86,15,0.0,GL,1682643375
49,hermanus,-34.4187,19.2345,15.27,84,0,4.49,ZA,1682643408
50,buala,-8.145,159.5921,30.55,64,10,1.53,SB,1682643504
51,piacabucu,-10.4056,-36.4344,25.12,88,14,3.09,BR,1682643452
52,iqaluit,63.7506,-68.5145,-1.15,100,75,4.63,CA,1682643313
53,sodra sandby,56.5667,16.6167,3.83,87,0,4.01,SE,1682643884
54,puerto ayora,-0.7393,-90.3518,26.42,90,100,2.24,EC,1682643363
55,dryden,49.7833,-92.7503,6.16,70,0,2.06,CA,1682643444
56,anadyr,64.75,177.4833,-7.72,78,0,4.0,RU,1682643421
57,east london,-33.0153,27.9116,19.58,75,45,2.74,ZA,1682643885
58,necochea,-38.5473,-58.7368,15.2,59,57,4.76,AR,1682643885
59,nemuro,43.3236,145.575,6.85,76,67,3.55,JP,1682643452
60,port lincoln,-34.7333,135.8667,16.21,49,99,6.94,AU,1682643446
61,yellowknife,62.456,-114.3525,6.29,65,75,5.66,CA,1682643360
62,kodiak,57.79,-152.4072,5.73,70,100,2.06,US,1682643424
63,port elizabeth,-33.918,25.5701,17.95,93,40,2.57,ZA,1682643398
64,longyearbyen,78.2186,15.6401,-2.09,93,100,5.14,SJ,1682643370
65,tura,25.5198,90.2201,24.8,54,6,0.47,IN,1682643366
66,giyani,-23.3025,30.7187,20.2,67,0,1.97,ZA,1682643887
67,la paz,-16.5,-68.15,8.99,42,31,1.03,BO,1682643887
68,ola,59.5833,151.2833,1.94,77,7,3.26,RU,1682643401
69,atafu village,-8.5421,-172.5159,28.83,73,100,7.43,TK,1682643415
70,gaspra,44.4333,34.1,11.95,90,100,0.66,UA,1682643888
71,port alfred,-33.5906,26.891,16.77,89,72,0.45,ZA,1682643406
72,bonthe,7.5264,-12.505,26.97,76,19,2.69,SL,1682643412
73,san patricio,28.017,-97.5169,25.05,68,0,1.42,US,1682643397
74,tofol,5.3248,163.0078,27.88,83,100,1.54,FM,1682643507
75,udachny,66.4167,112.4,-0.86,68,95,2.5,RU,1682643385
76,strezhevoy,60.7333,77.5889,4.28,100,100,5.21,RU,1682643889
77,alofi,-19.0595,-169.9187,27.94,78,75,5.14,NU,1682643479
78,ariquemes,-9.9133,-63.0408,23.48,90,2,0.99,BR,1682643867
79,vernon,50.2581,-119.2691,20.2,22,29,1.79,CA,1682643289
80,albany,42.6001,-73.9662,10.81,66,11,0.46,US,1682643361
81,bredasdorp,-34.5322,20.0403,13.17,88,6,2.23,ZA,1682643409
82,punta arenas,-53.15,-70.9167,3.06,75,20,3.09,CL,1682643370
83,ar ruways,24.1103,52.7306,25.47,42,0,2.9,AE,1682643890
84,rongelap,11.1635,166.8941,27.03,82,35,9.17,MH,1682643891
85,vegreville,53.5001,-112.0518,13.39,30,100,4.12,CA,1682643891
86,krasnoufimsk,56.6059,57.7669,8.8,94,8,2.38,RU,1682643800
87,saipan,15.1355,145.701,30.39,79,40,9.77,MP,1682643420
88,vorgashor,67.5833,63.95,-7.32,93,100,6.6,RU,1682643379
89,mount isa,-20.7333,139.5,27.87,39,8,3.09,AU,1682643634
90,utrik,11.2278,169.8474,26.8,83,79,8.63,MH,1682643407
91,bethel,41.3712,-73.414,9.81,85,0,0.0,US,1682643892
92,blackmans bay,-43.0167,147.3167,21.07,48,100,4.7,AU,1682643360
93,vila franca do campo,37.7167,-25.4333,17.23,90,33,5.95,PT,1682643440
94,queenstown,-31.8976,26.8753,13.44,89,89,1.34,ZA,1682643452
95,narasapur,16.45,81.6667,27.37,77,0,0.88,IN,1682643893
96,saint-pierre,-21.3393,55.4781,21.82,83,75,3.09,RE,1682643420
97,talnakh,69.4865,88.3972,-9.4,94,58,1.19,RU,1682643417
98,usinsk,65.9939,57.5281,-6.46,93,75,4.95,RU,1682643449
99,isafjordur,66.0755,-23.124,-1.9,65,12,2.99,IS,1682643410
100,kingston,17.997,-76.7936,28.53,86,20,7.2,JM,1682643783
101,kapuskasing,49.4169,-82.4331,3.05,93,100,5.66,CA,1682643362
102,tolanaro,-25.0319,46.9987,21.04,100,75,2.06,MG,1682643486
103,mount gambier,-37.8333,140.7667,14.11,57,100,4.29,AU,1682643436
104,vilyuysk,63.7553,121.6247,1.75,86,93,1.89,RU,1682643371
105,nur-sultan,51.1801,71.446,6.97,70,0,2.0,KZ,1682643895
106,carrigaline,51.8117,-8.3986,10.86,100,75,2.57,IE,1682643895
107,georgetown,5.4112,100.3354,27.96,94,20,2.06,MY,1682643278
108,hithadhoo,-0.6,73.0833,28.42,77,100,3.79,MV,1682643409
